			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A				PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1					
Plate	Barcode	Well	CalcResultI	Signal	Flashes/Time	MeasTime	CalcResultI	Signal		MeasTime		
1		F06	183540	36708	0.2	00:00:41.031	183540	0	0	0		
1		F07	159260	31852	0.2	00:00:40.734	159260	0	0	0		
1		F08	134300	26860	0.2	00:00:40.437	134300	0	0	0		
1		F09	154280	30856	0.2	00:00:40.140	154280	0	0	0		
1		F10	115300	23060	0.2	00:00:39.844	115300	0	0	0		
1		F11	160980	32196	0.2	00:00:39.547	160980	0	0	0		
1		F12	183840	36768	0.2	00:00:39.250	183840	0	0	0		
1		F13	171500	34300	0.2	00:00:38.953	171500	0	0	0		
1		F14	137500	27500	0.2	00:00:38.672	137500	0	0	0		
1		F15	186540	37308	0.2	00:00:38.375	186540	0	0	0		
1		F16	154540	30908	0.2	00:00:38.078	154540	0	0	0		
1		F17	111480	22296	0.2	00:00:37.781	111480	0	0	0		
1		F18	109240	21848	0.2	00:00:37.484	109240	0	0	0		
1		F19	155280	31056	0.2	00:00:37.187	155280	0	0	0		
1		F20	146940	29388	0.2	00:00:36.890	146940	0	0	0		
1		F21	181460	36292	0.2	00:00:36.594	181460	0	0	0		
1		F22	158540	31708	0.2	00:00:36.312	158540	0	0	0		
1		F23	127900	25580	0.2	00:00:36.015	127900	0	0	0		
1		F24	174000	34800	0.2	00:00:35.719	174000	0	0	0		
1		G01	251120	50224	0.2	00:00:42.859	251120	0	0	0		
1		G02	125840	25168	0.2	00:00:43.156	125840	0	0	0		
1		G03	155700	31140	0.2	00:00:43.453	155700	0	0	0		
1		G04	144160	28832	0.2	00:00:43.750	144160	0	0	0		
1		G05	150920	30184	0.2	00:00:44.031	150920	0	0	0		
1		G06	108440	21688	0.2	00:00:44.328	108440	0	0	0		
1		G07	124280	24856	0.2	00:00:44.625	124280	0	0	0		
1		G08	116060	23212	0.2	00:00:44.922	116060	0	0	0		
1		G09	170020	34004	0.2	00:00:45.219	170020	0	0	0		
1		G10	208260	41652	0.2	00:00:45.515	208260	0	0	0		
1		G11	201220	40244	0.2	00:00:45.812	201220	0	0	0		
1		G12	125480	25096	0.2	00:00:46.109	125480	0	0	0		
1		G13	126840	25368	0.2	00:00:46.406	126840	0	0	0		
1		G14	187180	37436	0.2	00:00:46.687	187180	0	0	0		
1		G15	146640	29328	0.2	00:00:46.984	146640	0	0	0		
1		G16	146620	29324	0.2	00:00:47.281	146620	0	0	0		
1		G17	133460	26692	0.2	00:00:47.578	133460	0	0	0		
1		G18	133120	26624	0.2	00:00:47.875	133120	0	0	0		
1		G19	129420	25884	0.2	00:00:48.172	129420	0	0	0		
1		G20	145160	29032	0.2	00:00:48.469	145160	0	0	0		
1		G21	109080	21816	0.2	00:00:48.765	109080	0	0	0		
1		G22	153700	30740	0.2	00:00:49.047	153700	0	0	0		
1		G23	192800	38560	0.2	00:00:49.344	192800	0	0	0		
1		G24	155400	31080	0.2	00:00:49.640	155400	0	0	0		
1		H01	150620	30124	0.2	00:00:56.781	150620	0	0	0		
1		H02	127640	25528	0.2	00:00:56.484	127640	0	0	0		
1		H03	122540	24508	0.2	00:00:56.203	122540	0	0	0		
1		H04	114380	22876	0.2	00:00:55.906	114380	0	0	0		
1		H05	133140	26628	0.2	00:00:55.609	133140	0	0	0		
1		H06	126820	25364	0.2	00:00:55.312	126820	0	0	0		
1		H07	124680	24936	0.2	00:00:55.015	124680	0	0	0		
1		H08	127640	25528	0.2	00:00:54.719	127640	0	0	0		
1		H09	139040	27808	0.2	00:00:54.422	139040	0	0	0		
1		H10	110600	22120	0.2	00:00:54.125	110600	0	0	0		
1		H11	117720	23544	0.2	00:00:53.828	117720	0	0	0		
1		H12	126720	25344	0.2	00:00:53.547	126720	0	0	0		
1		H13	173400	34680	0.2	00:00:53.250	173400	0	0	0		
1		H14	124880	24976	0.2	00:00:52.953	124880	0	0	0		
1		H15	103120	20624	0.2	00:00:52.656	103120	0	0	0		
1		H16	117080	23416	0.2	00:00:52.359	117080	0	0	0		
1		H17	143960	28792	0.2	00:00:52.062	143960	0	0	0		
1		H18	111400	22280	0.2	00:00:51.765	111400	0	0	0		
1		H19	122300	24460	0.2	00:00:51.469	122300	0	0	0		
1		H20	140240	28048	0.2	00:00:51.187	140240	0	0	0		
1		H21	142000	28400	0.2	00:00:50.890	142000	0	0	0		
1		H22	131260	26252	0.2	00:00:50.594	131260	0	0	0		
1		H23	161220	32244	0.2	00:00:50.297	161220	0	0	0		
1		H24	146220	29244	0.2	00:00:50.000	146220	0	0	0		
1		I01	152200	30440	0.2	00:00:57.140	152200	0	0	0		
1		I02	135360	27072	0.2	00:00:57.437	135360	0	0	0		
1		I03	171980	34396	0.2	00:00:57.734	171980	0	0	0		
1		I04	131160	26232	0.2	00:00:58.031	131160	0	0	0		
1		I05	119080	23816	0.2	00:00:58.328	119080	0	0	0		
1		I06	117520	23504	0.2	00:00:58.625	117520	0	0	0		
1		I07	147480	29496	0.2	00:00:58.906	147480	0	0	0		
1		I08	114800	22960	0.2	00:00:59.203	114800	0	0	0		
1		I09	134280	26856	0.2	00:00:59.500	134280	0	0	0		
1		I10	124400	24880	0.2	00:00:59.797	124400	0	0	0		
1		I11	122040	24408	0.2	00:01:00.094	122040	0	0	0		
1		I12	107020	21404	0.2	00:01:00.390	107020	0	0	0		
1		I13	119340	23868	0.2	00:01:00.687	119340	0	0	0		
1		I14	134260	26852	0.2	00:01:00.984	134260	0	0	0		
1		I15	158560	31712	0.2	00:01:01.281	158560	0	0	0		
1		I16	129120	25824	0.2	00:01:01.562	129120	0	0	0		
1		I17	114220	22844	0.2	00:01:01.859	114220	0	0	0		
1		I18	114100	22820	0.2	00:01:02.156	114100	0	0	0		
1		I19	138380	27676	0.2	00:01:02.453	138380	0	0	0		
1		I20	138960	27792	0.2	00:01:02.750	138960	0	0	0		
1		I21	117740	23548	0.2	00:01:03.047	117740	0	0	0		
1		I22	120780	24156	0.2	00:01:03.344	120780	0	0	0		
1		I23	156940	31388	0.2	00:01:03.640	156940	0	0	0		
1		I24	157940	31588	0.2	00:01:03.922	157940	0	0	0		
1		J01	134560	26912	0.2	00:01:11.078	134560	0	0	0		
1		J02	145360	29072	0.2	00:01:10.781	145360	0	0	0		
1		J03	92060	18412	0.2	00:01:10.484	92060	0	0	0		
1		J04	108220	21644	0.2	00:01:10.187	108220	0	0	0		
1		J05	152380	30476	0.2	00:01:09.890	152380	0	0	0		
1		J06	114840	22968	0.2	00:01:09.594	114840	0	0	0		
1		J07	147540	29508	0.2	00:01:09.297	147540	0	0	0		
1		J08	132000	26400	0.2	00:01:09.000	132000	0	0	0		
1		J09	139460	27892	0.2	00:01:08.719	139460	0	0	0		
1		J10	139600	27920	0.2	00:01:08.422	139600	0	0	0		
1		J11	107100	21420	0.2	00:01:08.125	107100	0	0	0		
1		J12	115560	23112	0.2	00:01:07.828	115560	0	0	0		
1		J13	138420	27684	0.2	00:01:07.531	138420	0	0	0		
1		J14	116340	23268	0.2	00:01:07.234	116340	0	0	0		
1		J15	128740	25748	0.2	00:01:06.937	128740	0	0	0		
1		J16	155940	31188	0.2	00:01:06.640	155940	0	0	0		
1		J17	169000	33800	0.2	00:01:06.359	169000	0	0	0		
1		J18	200960	40192	0.2	00:01:06.062	200960	0	0	0		
1		J19	133200	26640	0.2	00:01:05.765	133200	0	0	0		
1		J20	201540	40308	0.2	00:01:05.469	201540	0	0	0		
1		J21	198100	39620	0.2	00:01:05.172	198100	0	0	0		
1		J22	158960	31792	0.2	00:01:04.875	158960	0	0	0		
1		J23	163860	32772	0.2	00:01:04.578	163860	0	0	0		
1		J24	169560	33912	0.2	00:01:04.281	169560	0	0	0		
1		K01	160880	32176	0.2	00:01:11.437	160880	0	0	0		
1		K02	115500	23100	0.2	00:01:11.719	115500	0	0	0		
1		K03	136500	27300	0.2	00:01:12.015	136500	0	0	0		
1		K04	122960	24592	0.2	00:01:12.312	122960	0	0	0		
1		K05	150120	30024	0.2	00:01:12.609	150120	0	0	0		
1		K06	153920	30784	0.2	00:01:12.906	153920	0	0	0		
1		K07	131060	26212	0.2	00:01:13.203	131060	0	0	0		
1		K08	142900	28580	0.2	00:01:13.500	142900	0	0	0		
1		K09	156460	31292	0.2	00:01:13.797	156460	0	0	0		
1		K10	122600	24520	0.2	00:01:14.078	122600	0	0	0		
1		K11	153300	30660	0.2	00:01:14.375	153300	0	0	0		
1		K12	223520	44704	0.2	00:01:14.672	223520	0	0	0		
1		K13	101820	20364	0.2	00:01:14.969	101820	0	0	0		
1		K14	137300	27460	0.2	00:01:15.265	137300	0	0	0		
1		K15	143340	28668	0.2	00:01:15.562	143340	0	0	0		
1		K16	232820	46564	0.2	00:01:15.859	232820	0	0	0		
1		K17	130020	26004	0.2	00:01:16.156	130020	0	0	0		
1		K18	26260	5252	0.2	00:01:16.437	26260	0	0	0		
1		K19	41260	8252	0.2	00:01:16.734	41260	0	0	0		
1		K20	26920	5384	0.2	00:01:17.031	26920	0	0	0		
1		K21	22500	4500	0.2	00:01:17.328	22500	0	0	0		
1		K22	161880	32376	0.2	00:01:17.625	161880	0	0	0		
1		K23	248920	49784	0.2	00:01:17.922	248920	0	0	0		
1		K24	186360	37272	0.2	00:01:18.219	186360	0	0	0		
1		L01	145580	29116	0.2	00:01:25.359	145580	0	0	0		
1		L02	187740	37548	0.2	00:01:25.062	187740	0	0	0		
1		L03	130000	26000	0.2	00:01:24.765	130000	0	0	0		
1		L04	119380	23876	0.2	00:01:24.469	119380	0	0	0		
1		L05	163740	32748	0.2	00:01:24.172	163740	0	0	0		
1		L06	125800	25160	0.2	00:01:23.890	125800	0	0	0		
1		L07	146520	29304	0.2	00:01:23.594	146520	0	0	0		
1		L08	150880	30176	0.2	00:01:23.297	150880	0	0	0		
1		L09	126280	25256	0.2	00:01:23.000	126280	0	0	0		
1		L10	100740	20148	0.2	00:01:22.703	100740	0	0	0		
1		L11	160400	32080	0.2	00:01:22.406	160400	0	0	0		
1		L12	155520	31104	0.2	00:01:22.109	155520	0	0	0		
1		L13	103220	20644	0.2	00:01:21.812	103220	0	0	0		
1		L14	117400	23480	0.2	00:01:21.515	117400	0	0	0		
1		L15	144560	28912	0.2	00:01:21.234	144560	0	0	0		
1		L16	161760	32352	0.2	00:01:20.937	161760	0	0	0		
1		L17	142400	28480	0.2	00:01:20.640	142400	0	0	0		
